,growth_factor_fmp,inflation_factor_fmp,real_rates_factor_fmp,credit_factor_fmp,currency_factor_fmp,liquidity_factor_fmp,tail_risk_factor_fmp,growth,inflation,real_rates,credit,currency,liquidity,tail_risk
1979-04-30,-0.027911111,1.026448808,0.690372532,0.193767315,-0.362407,2.312149668,-1.83841137,-0.552359346,1.456552845,0.889117687,-0.552918962,1.027741126,-0.445458197,-0.729174861
1979-05-31,-6.81612202,4.350672904,-0.344763315,3.217165799,-3.034013463,-2.05101333,-2.249688405,-0.655960527,1.752131655,-1.137934653,1.331216906,-0.059903614,0.197345174,1.016845777
1979-06-30,-0.010747627,0.70134426,-1.82258143,1.292216571,-1.795452943,-6.594403531,-0.895353727,-0.616195312,1.721536335,-3.512716907,2.846412029,-1.279276092,0.725857888,1.182481234
1979-07-31,-1.107031872,4.113842814,-0.264663801,-0.271475065,-0.495461595,-2.066265524,-1.972725252,-0.505081865,1.692492984,-0.509784944,-1.686986744,-0.680221087,-0.092402768,0.68343514
1979-08-31,3.6461046,3.797364271,-0.310636823,-3.317777062,-0.55229657,-2.0427926,-2.185711059,-0.646051883,1.356445739,0.254803875,-0.52482333,0.337630353,0.845778935,0.964753806
1979-09-30,7.87610566,-1.103772998,0.219562708,-1.355096758,-5.264645174,12.38564779,5.667834822,0.043967911,1.029297257,0.466215523,-0.917463004,-1.789358619,0.365979049,0.67459879
1979-10-31,-6.686702167,3.551828059,4.06383751,0.194486046,2.782013763,-0.20038894,-3.155817603,-0.210489897,1.639098193,4.49205489,-2.576754042,3.375697717,0.415354931,1.32042241
1979-11-30,5.573901531,1.663813363,-1.605779072,-0.209514113,-2.318484488,1.695304121,-0.344442501,-0.355343243,1.614190738,-1.291189017,3.914087336,-1.472405016,0.036844543,0.293517087
1979-12-31,2.249413215,2.198949719,-0.833299429,1.936261687,-5.284617827,5.304236362,0.479831889,-1.152920914,1.890660039,-2.268052299,2.585377462,-0.665805569,0.934203747,0.982551379
1980-01-31,11.127936,-2.903142748,0.741272572,-4.55320755,-4.318179829,13.26906776,7.68213317,0.533232131,2.437714955,1.815981668,-1.778478799,-0.258033375,1.262770132,0.48017219
1980-02-29,-5.041017672,2.75919714,4.026623959,-2.380849717,1.164963519,-5.685579168,-2.560996272,1.471215732,2.087016206,4.854374789,-4.209006609,1.634402486,1.538493146,0.773253182
1980-03-31,-9.902568034,5.802848296,0.442254412,6.024454582,7.298969883,-1.703961441,-10.03222467,-2.348039368,2.323466585,-0.52191015,5.262443779,4.442258798,1.623569404,0.806671479
